lon,lat,elev,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-72.36,-15.5,3562,83.23,100.36,55.01,16.73,1.86,2.69,3.8,3.13,3.91,7.23,9.55,44.37
-72.49,-16.07,618,1.35,1.82,1.04,0.19,0.08,0,0.1,0.01,0.06,0,0.06,0.31
-72.27,-15.68,1947,20.37,34.54,21.51,2.77,1.08,0.56,0.62,0.1,1.76,0.97,1.22,4.45
-71.97,-15.62,3333,101.48,126.72,87.94,23.14,2.29,1.31,1.5,5.81,5.07,5.47,8.45,44.18
-72.13,-15.58,2432,56.99,77.48,49.39,12.58,1.28,1.09,1.32,1.89,1.45,3.05,5.2,26.32
-72.65,-15.85,2859,49.18,77.93,31.26,5.85,0.56,0.11,1.25,0.66,0.17,1.18,0.37,7.55
-70.91,-15.76,4511,141.76,121.92,113.26,42.27,5.01,3.72,3.12,5.3,5.28,20.62,36.18,74.39
-72.11,-15.73,3312,65.97,73.38,54.44,15.6,1.3,2.2,1.48,1.84,2.17,6.04,3.1,24.83
-71.81,-15.61,3276,104.06,122.51,85.37,27.96,2.52,1.36,1.81,2.98,8.57,9,14.8,52.73
-72.5,-15.65,3093,72.56,109.69,54.4,8.64,3.2,0.88,1.52,2.02,2.42,3.58,7.74,26.27
-72.34,-15.26,3812,94.86,108.76,81.19,29.01,3.57,0.31,2.32,4.62,7.65,14.09,25.69,49.67
-72.15,-16.34,1498,2.21,1.5,2.11,0.07,0.47,0.07,0.38,0.12,0,0.02,0.06,0.41
-71.03,-15.6,4605,170.56,163.6,119.29,54.22,11.3,1.27,3.65,6.6,11.72,25.11,50.75,121.61
-71.31,-15.31,4396,154.42,148.88,109.02,49.17,9.74,2.85,3.24,6.28,12.57,28.5,35.13,90.27
-71.46,-15.49,3816,72.73,153,144.21,110.09,34.21,4.84,2.81,4.57,8.45,11.51,22.1,31.21
-71.45,-15.35,4195,170.55,158.3,131.05,49.58,8.6,4.86,4.92,11.19,15.95,26.91,37.75,93.15
-71.77,-15.62,3384,66.24,83.91,50,9.16,1.17,0.44,0.93,0.05,2.62,2.08,1.65,18.96
-72.7,-16.64,10,0.38,0.19,0,0.08,0.95,0,0.83,0.39,1.39,0.07,0.69,0.61
-72.89,-15.21,2683,81.93,116.23,68.92,14.58,1.63,0.86,1.69,2.87,2.81,4.18,6.54,28.56
-71.88,-16.03,3065,39.75,69.87,33.45,6.17,1.32,0.4,1.76,2.12,2.85,1.45,0.38,11.73
-71.09,-15.84,4475,124.75,122.19,98.62,35.73,4.33,2.36,3.1,4.43,6.06,14.08,27.94,71.45
-71.77,-15.19,4327,193.02,183.63,155.92,54.69,9.21,8.45,2.37,13.13,17.51,36.63,61.98,108.21
-70.61,-15.7,3970,168.08,131.81,110.04,47.94,7.85,5.03,1.77,10.39,8.28,34.03,52.92,89.76
-71.92,-16.58,1278,0.65,1.11,0.46,0.15,0.09,0,0.11,0.07,0,0,0.01,0.06
-71.22,-15.98,4432,94.88,106.62,80.71,25.25,4.38,2.72,3.21,2.93,5.26,12.62,19.37,55.46
-72.69,-15.06,3661,130.27,161.6,143.02,45.68,5.6,4.98,2.48,7.59,13.86,12.71,14.32,77.33
-72.83,-15.5,3203,65.85,98.91,55.57,12.99,4,2.09,3.21,2.38,3.24,3.95,7.73,31.09
-72.88,-15.78,3007,38.08,69.28,29.03,3.7,0.63,0.49,0.8,1.99,0.77,1.42,2.68,9.72
-71.58,-15.65,4104,90.53,77.74,55.12,24.05,4.59,4.89,1.16,9.11,5.96,10.95,15.64,44.57
